         CONN_2;  5;               ;"P4, P7, P9, P10, P11"
         CONN_4;  3;               ;"P5, P6, P8"
       CONN_6X2;  1;               ;"P1"
           DB37;  2;               ;"J3, J7"
            DB9;  1;               ;"J1"
          DIL10;  1;               ;"P2"
          DIL16;  1;               ;"P3"
              R; 12;               ;"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12"
